symbol_clean,classification,trades,unique_accounts,unique_symbols,total_pnl,avg_pnl,median_pnl,win_rate,total_volume_usd,avg_size_usd,avg_leverage,total_fee
AVAX,Fear,119,5,1,36061.514473,303.0379367478992,0.335016,51.26050420168067,283938.4,2386.0369747899163,,77.737176
JELLY,Fear,992,1,1,35193.716244,35.47753653629032,12.481434,80.94758064516128,2193971.31,2211.664627016129,,341.111631
AIXBT,Fear,627,7,1,33705.211957,53.756318910685806,2.447603,61.24401913875598,857067.38,1366.933620414673,,214.466896
ETH,Greed,1965,15,1,24185.154077,12.30796645139949,0.0,26.412213740458014,18451253.86,9389.951073791348,,3618.742265
VIRTUAL,Fear,487,4,1,21378.396346,43.89814444763861,2.959492,60.98562628336756,1226144.05,2517.7495893223822,,376.045595
ANIME,Fear,660,5,1,21317.258031,32.29887580454545,0.0,32.57575757575758,590255.83,894.3270151515151,,153.981422
LAYER,Fear,292,4,1,20496.4351,70.19327089041096,0.0,21.91780821917808,806061.99,2760.4862671232877,,202.671736
ZEREBRO,Fear,589,3,1,19583.675366,33.24902439049236,7.17606,87.43633276740238,1201895.18,2040.5690662139218,,170.193623
PURR/USDC,Fear,1228,6,1,17430.660455,14.194348904723128,0.0,24.348534201954397,1084199.2,882.8983713355049,,1356.547561
@85,Greed,60,2,1,16966.719764,282.77866273333336,0.0,35.0,24622.54,410.3756666666667,,7.39375844
MOODENG,Greed,95,2,1,16045.851424,168.9036992,0.0,35.78947368421053,159638.89,1680.4093684210527,,55.532655
DOGE,Extreme Greed,165,2,1,15561.431532,94.31170625454546,15.61875,89.6969696969697,989372.85,5996.199090909091,,46.532835
KPEPE,Extreme Greed,220,2,1,15468.44568,70.31111672727273,13.641838,65.9090909090909,1234737.94,5612.4451818181815,,74.704903
WLD,Extreme Greed,209,1,1,15083.999684,72.17224729186603,12.3432,90.9090909090909,898620.27,4299.618516746412,,16.762197
ONDO,Extreme Greed,262,1,1,13999.536764,53.43334642748092,16.57953,81.29770992366412,874413.18,3337.4548854961836,,60.611303
NEAR,Extreme Greed,201,1,1,13924.711916,69.27717371144279,20.13996,94.5273631840796,811027.9,4034.9646766169153,,33.741063
PURR,Fear,823,3,1,13841.417246,16.818246957472663,2.544009,68.65127582017011,709565.21,862.1691494532199,,91.04433
RNDR,Extreme Greed,137,1,1,13527.472602,98.7406759270073,24.68422,90.51094890510949,602251.92,4395.999416058395,,-5.112958
EIGEN,Fear,83,3,1,13394.150317,161.37530502409638,24.4222,65.06024096385542,81095.09,977.0492771084337,,11.457815
ME,Fear,478,2,1,13244.873228,27.708939807531383,0.0,34.10041841004184,233437.98,488.3639748953975,,34.860771
TAO,Fear,511,6,1,13238.494724,25.907034684931507,0.159068,59.295499021526425,650777.47,1273.5371232876712,,96.985142
PURR,Greed,349,3,1,12897.029759000001,36.95423999713467,1.705935,70.20057306590259,379910.8,1088.5696275071632,,44.622064
ENA,Greed,339,3,1,12868.404337,37.95989479941003,0.0,26.843657817109147,565424.35,1667.918436578171,,72.280979
AVAX,Greed,74,3,1,12193.563357,164.77788320270272,0.0,48.64864864864865,110782.41,1497.0595945945947,,25.107992
WIF,Extreme Greed,158,1,1,11438.629848,72.39639144303798,17.939331000000003,89.87341772151899,483412.77,3059.574493670886,,28.447021999999997
FARTCOIN,Greed,386,4,1,11284.113123,29.233453686528495,3.5524,76.68393782383419,624511.89,1617.906450777202,,170.477495
PNUT,Greed,98,1,1,11027.704582,112.5275977755102,5.3934999999999995,65.3061224489796,229279.94,2339.591224489796,,63.740361
SEI,Fear,162,3,1,10880.55573,67.16392425925926,2.86902,76.5432098765432,934543.14,5768.784814814815,,272.34268399999996
BTC,Neutral,217,2,1,10485.300779,48.31935842857143,0.0,34.56221198156682,1375886.79,6340.492119815668,,481.310018
@85,Fear,72,2,1,9539.420245,132.4919478472222,0.0,30.555555555555557,24411.96,339.055,,4.88056635
ARB,Fear,94,5,1,9355.769067,99.52945815957446,0.0,24.46808510638298,86382.01,918.9575531914893,,11.616473000000001
AAVE,Greed,227,4,1,9034.607012,39.80003088986784,0.0,39.20704845814978,598866.78,2638.1796475770925,,198.646739
TIA,Fear,68,3,1,8131.289748,119.57779041176471,0.0,36.76470588235294,114191.41,1679.2854411764706,,24.055675
WLD,Neutral,796,1,1,7968.3847,10.010533542713567,0.0,39.07035175879397,844634.34,1061.0984170854272,,272.277322
GOAT,Greed,90,2,1,7944.0705,88.26745,10.0087075,64.44444444444444,370438.39,4115.982111111111,,129.195005
AI16Z,Fear,526,5,1,7903.747996,15.026136874524715,0.386304,54.372623574144484,626556.64,1191.172319391635,,104.944387
TURBO,Greed,49,2,1,7623.480459,155.58123385714288,0.6004,55.10204081632652,139109.15,2838.962244897959,,40.769413
JTO,Fear,128,3,1,7431.126405,58.0556750390625,0.0,45.3125,334509.08,2613.3521875,,99.346233
GRIFFAIN,Fear,552,5,1,7290.563754,13.207543032608696,4.2427575,71.73913043478261,580814.59,1052.2003442028986,,81.508334
PENDLE,Fear,1020,2,1,6966.110874,6.829520464705882,0.0,48.92156862745098,404677.57,396.7427156862745,,126.483281
FTM,Extreme Greed,60,1,1,6893.5180119999995,114.89196686666666,31.896085,85.0,445993.07,7433.217833333333,,35.368909
KPEPE,Greed,722,4,1,5825.356566,8.068360894736843,0.0,32.27146814404433,639165.14,885.2702770083102,,189.335706
INJ,Extreme Greed,76,2,1,5784.055,76.10598684210527,6.4792,69.73684210526315,340709.81,4483.023815789474,,16.105415
APE,Greed,446,1,1,5676.327808,12.727192394618834,0.0,32.062780269058294,422420.94,947.1321524663678,,138.14234
OP,Fear,104,2,1,5675.022559,54.56752460576923,0.0,34.61538461538461,135376.2,1301.694230769231,,18.153729000000002
SPX,Fear,90,2,1,5612.831099,62.36478998888889,5.330404,77.77777777777779,289426.51,3215.8501111111113,,35.788356
ONDO,Fear,1191,5,1,5583.888141,4.688403141057935,0.0,40.80604534005038,843783.9,708.4667506297229,,110.79243
LTC,Fear,104,3,1,5447.424033,52.37907724038462,2.5468035,64.42307692307693,335631.75,3227.2283653846152,,74.322531
@109,Fear,18,4,1,5386.516521,299.2509178333333,423.7029745,72.22222222222221,5632.96,312.9422222222222,,3.992105
DOGE,Greed,313,8,1,5320.155625,16.99730231629393,0.0,30.35143769968051,812424.5700000001,2595.6056549520767,,260.386091
FTT,Fear,601,1,1,5113.865098,8.508926951747089,0.0,40.765391014975044,158954.52,264.48339434276204,,37.33216
USUAL,Greed,158,2,1,5110.7451360000005,32.346488202531646,1.995,87.34177215189874,356612.7,2257.0424050632914,,46.613021
PENGU,Fear,847,6,1,4990.631955,5.892127455726092,0.0,41.44037780401417,988663.53,1167.253282172373,,263.763319
@142,Fear,335,7,1,4826.391083,14.40713756119403,0.0,30.149253731343283,1414171.4,4221.407164179104,,103.4380754528
VINE,Fear,811,3,1,4777.252708,5.890570540073982,0.0,38.964241676942045,676727.95,834.4364364981503,,120.803947
ZETA,Extreme Greed,239,1,1,4617.29366,19.319220334728033,9.115274,94.14225941422593,313486.4,1311.6585774058578,,6.197994
ILV,Greed,110,2,1,4392.963602,39.93603274545455,0.0,46.36363636363636,201982.57,1836.205181818182,,49.058838
WLD,Greed,334,3,1,4325.449757,12.950448374251497,0.0,30.83832335329341,510336.3,1527.952994011976,,168.78891
RUNE,Fear,222,3,1,4228.797488,19.048637333333335,3.49676,58.108108108108105,461337.32,2078.096036036036,,69.891977
RENDER,Greed,169,2,1,4033.180854,23.864975467455622,0.81443,52.662721893491124,123041.3,728.0550295857988,,35.959203
MEME,Extreme Greed,42,2,1,4008.65389,95.44414023809524,32.262269,76.19047619047619,141362.87,3365.782619047619,,9.582391
